% Xfiducial, Yfiducial=(  9.14  86.36), ( 76.20  86.36), (143.26  86.36), (  9.14  50.80), (143.26  50.80), (  9.14  15.24), ( 76.20  15.24), (143.26  15.24) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control; 4=duplicate sample) 
0164,  83.31,  79.25,  1.02,  1.02, 0.200, 0.450, 0.350, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0165,  85.34,  79.25,  1.02,  1.02, 0.200, 0.400, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0166,  87.37,  79.25,  1.02,  1.02, 0.200, 0.350, 0.450, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0167,  89.40,  79.25,  1.02,  1.02, 0.200, 0.300, 0.500, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0168,  91.44,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1 
0169,  93.47,  79.25,  1.02,  1.02, 0.200, 0.250, 0.550, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0170,  95.50,  79.25,  1.02,  1.02, 0.200, 0.200, 0.600, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0171,  97.53,  79.25,  1.02,  1.02, 0.200, 0.150, 0.650, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0172,  99.56,  79.25,  1.02,  1.02, 0.200, 0.100, 0.700, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0173, 101.60,  79.25,  1.02,  1.02, 0.200, 0.050, 0.750, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0174, 103.63,  79.25,  1.02,  1.02, 0.200, 0.000, 0.800, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0175, 105.66,  79.25,  1.02,  1.02, 0.150, 0.850, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
0176, 107.69,  79.25,  1.02,  1.02, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 2 
0177, 109.72,  79.25,  1.02,  1.02, 0.150, 0.800, 0.050, 0.000, 0.000, 0.000, 0.000, 0.000, 0 
